"ID";"指示符";"封装";"数量";"名称";"供应商和参考";
1;"R28,R26,R31,R27,R17,R13,R18,R29";"0204_7";8;"10k";;;
2;"LED9,LED5,LED1,LED2,LED4,LED6,LED3,LED11,LED12,LED13,LED7,LED8,LED14,LED10";"LED3MM";14;"LED3MM";;;
3;"R23";"S64W";1;"100k";;;
4;"R5,R7";"0204_7";2;"47k";;;
5;"C20,C21,C26,C33,C28";"E2,5-7";5;"100uF";;;
6;"C16,C8,C14,C17,C15";"E2-4";5;"1uF";;;
7;"C5,C35,C9,C29,C32,C1,C24,C18,C11,C25,C19,C12,C30,C31,C34";"C025-024X044";15;"0.1uF";;;
8;"L1";"RL622_SERIES";1;"RL622-101K-RC";;;
9;"R24,R6,R8,R25";"0204_7";4;"100k";;;
10;"R9,R11";"0204_7";2;"5k6";;;
11;"SWC0,SWUP0,SWLEFT0,SWDOWN0,SWA0,SWRIGHT0,SWB0";"TACTILE_SWITCH_PTH_6.0MM";7;"MOMENTARY-SWITCH-SPST-PTH-6.0MM";;;
12;"S1";"DIP04S";1;"DIP04S";;;
13;"D3";"DO41-7.6";1;"1N581";;;
14;"R15,R16";"0204_7";2;"15k";;;
15;"S2";"SW_OS102011MS2QN1";1;"OS102011MS2QN1";;;
16;"R19,R20";"0204_7";2;"10R";;;
17;"IC6";"TO220V";1;"78TV";;;
18;"@HOLE5,@HOLE2,@HOLE0,@HOLE4,@HOLE1,@HOLE3";"";6;"";;;
19;"IC2,IC3";"DIL16";2;"74HCT595N";;;
20;"JP1";"ILI9341_2_4";1;"ILI9341_2_4";;;
21;"IC9,IC10";"TSSOP-20_4.4x6.5mm_P0.65mm";2;"PCA9634PW";;;
22;"R21,R1,R22,R10,R2";"0204_7";5;"2k2";;;
23;"J2";"SWITCHCRAFT_35RAPC4BHN2";1;"35RAPC4BHN2";;;
24;"RN3,RN1";"SIL9";2;"1k";;;
25;"R14";"3RP_1610G";1;"3RP/1610G";;;
26;"C2,C6,C7,C10";"E2,5-5";4;"10uF";;;
27;"IC1";"TO220H";1;"UA78M33CKCS";;;
28;"RN2";"SIL9";1;"10k";;;
29;"Q3,Q2";"TO-92_Inline";2;"2SC1815";;;
30;"IC5";"DIL08";1;"NE5532N";;;
31;"R4,R3";"0204_7";2;"82k";;;
32;"R32,R30";"0204_7";2;"5.1k";;;
33;"KK1";"581002B02500G-ISH";1;"581002B02500G-ISH";;;
34;"C4,C3";"C025-024X044";2;"120pF";;;
35;"C13";"E2,5-7";1;"330uF";;;
36;"IC7";"YM2612";1;"YM2612";;;
37;"J3";"2041021-3_2";1;"2041021-3";;;
38;"IC8";"SN76489";1;"SN76489";;;
39;"Q1";"TO220BV";1;"IRF9530";;;
40;"IC14";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340C";;;
41;"R12";"0204_7";1;"100R";;;
42;"J4";"POWER_JACK_PTH";1;"POWER_JACK";;;
43;"IC11";"D8";1;"TPA6111A2DR";;;
44;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
45;"IC12";"ESP-WROOM-32-NO-RF";1;"ESP-WROOM-32ESP-WROOM-32-NO-RF";;;
46;"IC4";"DIL28-3";1;"MCP23017SP";;;
47;"H1,H5,H2,H6";"3,6";4;"MOUNT-HOLE3.6";;;
48;"TP_SCL0,TP_3V3,TP_RX0,TP_VIN_SW0,TP_GND0,EX_A0,TP_VIN0,TP_BOOTMODE0,TP_TX0,EX_B0,TP_RESET0,TP_5V0,TP_SDA0";"B1,27";13;"TPB1,27";;;
49;"H3,H8,H4,H7";"3,2";4;"MOUNT-HOLE3.2";;;
